Timestamp,Class,Confidence,X1,Y1,X2,Y2
2025-10-29_08-54-05,normal,0.546466588973999,551,135,698,416
2025-10-29_08-54-05,normal,0.7742093801498413,349,50,516,421
2025-10-29_08-54-05,normal,0.6905344128608704,550,135,696,416
2025-10-29_08-54-06,normal,0.7541664242744446,349,49,517,413
2025-10-29_08-54-06,normal,0.7404024600982666,550,134,696,416
2025-10-29_08-54-06,normal,0.7316843867301941,552,136,695,417
2025-10-29_08-54-06,normal,0.7070642709732056,352,46,520,404
2025-10-29_08-54-06,normal,0.7674959301948547,552,135,695,417
2025-10-29_08-54-06,normal,0.7301388382911682,352,46,522,403
2025-10-29_08-54-06,normal,0.791948676109314,552,133,695,417
2025-10-29_08-54-06,normal,0.7159000039100647,353,45,523,409
2025-10-29_08-54-06,normal,0.7489096522331238,554,134,695,415
2025-10-29_08-54-06,normal,0.7105998396873474,356,44,524,405
2025-10-29_08-54-06,normal,0.6999533772468567,554,133,699,414
2025-10-29_08-54-06,normal,0.599578320980072,355,44,527,404
2025-10-29_08-54-07,normal,0.7020516991615295,556,134,695,414
2025-10-29_08-54-07,normal,0.603965699672699,357,44,528,399
2025-10-29_08-54-07,normal,0.7934772372245789,556,135,695,413
2025-10-29_08-54-07,normal,0.5348636507987976,366,44,528,405
2025-10-29_08-54-07,normal,0.7857709527015686,555,137,697,412
2025-10-29_08-54-07,normal,0.5829545855522156,368,45,529,400
2025-10-29_08-54-07,normal,0.7608658075332642,554,137,701,412
2025-10-29_08-54-07,normal,0.491924524307251,370,44,530,407
2025-10-29_08-54-08,normal,0.7545468807220459,554,138,700,412
2025-10-29_08-54-08,normal,0.5761046409606934,369,44,530,408
2025-10-29_08-54-08,normal,0.7144500613212585,557,140,701,412
2025-10-29_08-54-08,normal,0.5495896339416504,371,44,532,423
2025-10-29_08-54-08,normal,0.6734339594841003,558,140,713,412
2025-10-29_08-54-08,normal,0.5276899337768555,375,44,534,402
2025-10-29_08-54-08,normal,0.6175962090492249,559,135,725,412
2025-10-29_08-54-08,normal,0.5348594784736633,379,45,535,388
2025-10-29_08-54-08,normal,0.7405684590339661,558,138,721,411
2025-10-29_08-54-08,normal,0.5343189835548401,378,44,535,387
2025-10-29_08-54-09,normal,0.7562054991722107,558,139,708,411
2025-10-29_08-54-09,normal,0.6372206211090088,379,44,536,389
2025-10-29_08-54-09,normal,0.7024885416030884,561,140,705,411
2025-10-29_08-54-09,normal,0.6291019916534424,383,44,536,388
2025-10-29_08-54-09,normal,0.7482897639274597,564,141,698,411
2025-10-29_08-54-09,normal,0.650251030921936,382,42,536,382
2025-10-29_08-54-09,normal,0.7328879833221436,563,139,692,411
2025-10-29_08-54-09,normal,0.563956081867218,381,41,537,383
2025-10-29_08-54-09,normal,0.7577352523803711,565,138,686,411
2025-10-29_08-54-09,normal,0.5438166856765747,382,41,538,384
2025-10-29_08-54-10,normal,0.7428132891654968,566,138,676,410
2025-10-29_08-54-10,normal,0.49823907017707825,384,40,538,381
2025-10-29_08-54-10,normal,0.7521326541900635,567,137,674,410
2025-10-29_08-54-10,normal,0.7494871616363525,567,137,670,410
2025-10-29_08-54-10,normal,0.7640237808227539,568,137,671,410
2025-10-29_08-54-10,normal,0.7567305564880371,568,137,669,409
2025-10-29_08-54-11,normal,0.7484501004219055,568,137,669,409
2025-10-29_08-54-11,normal,0.7344424724578857,567,137,669,409
2025-10-29_08-54-11,normal,0.7259803414344788,567,136,669,410
2025-10-29_08-54-11,normal,0.4563167691230774,382,32,544,396
2025-10-29_08-54-11,normal,0.7070977687835693,567,136,670,410
2025-10-29_08-54-11,normal,0.6804669499397278,568,135,670,410
2025-10-29_08-54-12,normal,0.675058126449585,568,135,671,411
2025-10-29_08-54-12,normal,0.5245946645736694,380,31,545,431
2025-10-29_08-54-12,normal,0.6990770101547241,570,136,674,411
2025-10-29_08-54-12,normal,0.6740800738334656,382,34,545,426
2025-10-29_08-54-12,normal,0.7205840945243835,382,36,545,427
2025-10-29_08-54-12,normal,0.6803690791130066,570,136,675,412
2025-10-29_08-54-12,normal,0.7819226980209351,384,35,545,405
2025-10-29_08-54-12,normal,0.6867247819900513,571,136,678,413
2025-10-29_08-54-12,normal,0.789603590965271,384,35,545,400
2025-10-29_08-54-12,normal,0.7034196853637695,571,137,678,413
2025-10-29_08-54-13,normal,0.8082720041275024,385,35,545,398
2025-10-29_08-54-13,normal,0.729610025882721,571,137,679,414
2025-10-29_08-54-13,normal,0.7832183837890625,387,34,545,394
2025-10-29_08-54-13,normal,0.7373375296592712,571,138,679,414
2025-10-29_08-54-13,normal,0.7843714356422424,388,35,546,395
2025-10-29_08-54-13,normal,0.7093865275382996,573,138,678,415
2025-10-29_08-54-13,normal,0.796285092830658,386,34,546,388
2025-10-29_08-54-13,normal,0.707267701625824,573,137,678,416
2025-10-29_08-54-13,normal,0.7951507568359375,385,34,547,392
2025-10-29_08-54-13,normal,0.7080913186073303,573,137,680,417
2025-10-29_08-54-14,normal,0.7841814160346985,386,31,547,393
2025-10-29_08-54-14,normal,0.7102457284927368,574,138,679,417
2025-10-29_08-54-14,normal,0.7790372967720032,387,32,548,395
